"GENDER","CATEGORY","College Code","College Name","Branch","Place","Last Rank (2022)"
"MALE","OC","SRMUPU","S R M UNIVERSITY AP","COMPUTER SCIENCE AND ENGINEERING","AMARAVATHI","10365"
"MALE","OC","PRAG","PRAGATI ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","PEDDAPURAM","10942"
"MALE","OC","VITAPUMT","VIT-AP UNIVERSITY-5 YEAR INTEGRATED MTECH","COMPUTER SCIENCE AND ENGINEERING","AMARAVATHI","11008"
"MALE","OC","PPSV","PRASAD V POTLURI SIDDHARTHA INSTT OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","VIJAYAWADA","11716"
"MALE","OC","VIVP","VIGNANS INSTITUTE OF INFORMATION TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","VISAKHAPATNA M","11860"
"MALE","OC","VVIT","VASIREDDY VENKATADRI INST. OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","GUNTUR","12445"
"MALE","OC","ADTP","ADITYA ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","PEDDAPURAM","13008"
"MALE","OC","MVRG","M V G R COLLEGE OF ENGINEERNG","COMPUTER SCIENCE AND ENGINEERING","VIZIANAGARAM","13201"
"MALE","OC","GPRE","G P R ENGINEERING. COLLEGE","COMPUTER SCIENCE AND ENGINEERING","KURNOOL","13614"
"MALE","OC","LIET","LENDI INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","VIZIANAGARAM","13904"
"MALE","OC","MBUTPU1","MOHAN BABU UNIVERSITY","COMPUTER SCIENCE AND ENGINEERING","RANGAMPETA","14566"
"MALE","OC","JNTC","JNTUA COLLEGE OF ENGINEERING. KALIKIRI","COMPUTER SCIENCE AND ENGINEERING","KALIKIRI","14870"
"MALE","OC","JNTP","JNTUA COLLEGE OF ENGG PULIVENDULA","COMPUTER SCIENCE AND ENGINEERING","PULIVENDULA","15157"
"MALE","OC","ADIT","ADITYA INSTITUTE OF TECHNOLOGY AND MGMT","COMPUTER SCIENCE AND ENGINEERING","TEKKALI","15364"
"MALE","OC","VSVT","SRI VASAVI ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","TADEPALLIGUD EM","16775"
"MALE","OC","MBUTPU2","MOHAN BABU UNIVERSITY","COMPUTER SCIENCE AND ENGINEERING","RANGAMPETA","17424"
"MALE","OC","MITS","MADANAPALLY INSTITUTE OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING","MADANAPALLE","17792"
"MALE","OC","RAGU","RAGHU ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","BHEEMUNIPAT NAM","17929"
"MALE","OC","GDLV","SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","GUDLAVALLERU","18350"
"MALE","OC","LBCE","LAKIREDDY BALIREDDY COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","MYLAVARAM","19672"
"MALE","OC","ACET","ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","PEDDAPURAM","21243"
"MALE","OC","JNTN","JNTUK COLLEGE OF ENGINEERING NARSARAOPETA","COMPUTER SCIENCE AND ENGINEERING","NARSARAOPET","22270"
"MALE","OC","RITV","RAGHU INST. OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","BHEEMUNIPAT NAM","22770"
"MALE","OC","SVCE","SRI VENKATESWARA COLL OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","TIRUPATHI","22855"
"MALE","OC","BECB","BAPATLA ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","BAPATLA","22873"
"MALE","OC","RGIT","RAJIV GANDHI MEMORIAL COLLEGE OF ENGG. AND TECH.","COMPUTER SCIENCE AND ENGINEERING","NANDYAL","23901"
"MALE","OC","NBKR","NBKR INSTITUTE OF SCI. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","VIDYANAGAR","24033"
"MALE","OC","ANCUSF","ANU COLLEGE OF ENGG TECHNOLOGY-SELF FINANCE","COMPUTER SCIENCE AND ENGINEERING","GUNTUR","24590"
"MALE","OC","NARN","NARAYANA ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","NELLORE","24601"
"MALE","OC","NRIA","NRI INSTITUTE OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","AGIRIPALLY","25128"
"MALE","OC","VLIT","VIGNANS LARA INST. OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING","VADLAMUDI","25200"
"MALE","OC","SKUASF","SRI KRISHNADEVARAYA UNIV.COLL.OF ENG.- SELF FINANCE","COMPUTER SCIENCE AND ENGINEERING","ANANTAPURAM U","25241"
"MALE","OC","SRIT","SRINIVASA RAMANUJAN INST OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","ANANTAPURAM U","25633"
"MALE","OC","KITS","KKR AND KSR INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING","GUNTUR","25899"
"MALE","OC","SASI","SASI INSTITUTE OF TECHNOLOGY AND ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","TADEPALLIGUD EM","26807"
"MALE","OC","NSRT","NADIMPALLI SATYANARAYANA RAJU INSTITUTE OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","VISAKHAPATNA M","27304"
"MALE","OC","GIER","GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","RAJAHMUNDRY","28241"
"MALE","OC","MBUTPU2","MOHAN BABU UNIVERSITY","COMPUTER SCIENCE AND ENGINEERING","RANGAMPETA","28359"
"MALE","OC","CRRE","SIR C R R COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","ELURU","28497"
"MALE","OC","NSPE","NARSARAOPETA ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","NARSARAOPET","28874"
"MALE","OC","AITS","ANNAMACHARYA INST OF TECHNOLOGY AND SCIENCES","COMPUTER SCIENCE AND ENGINEERING","RAJAMPETA","29686"
"MALE","OC","YGVU","YGVU YSR ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","PRODDATUR","30350"
"MALE","OC","ACES","ADITYA COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","PEDDAPURAM","31900"
"MALE","OC","MICT","DVR AND DR.HS MIC COLLEGE OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","KANCHIKACHER LA","33203"
"MALE","OC","SDTN","SIDDHARTH INSTITUTE OF ENGG. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","PUTTUR","33245"
"MALE","OC","ANURSF","ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE","COMPUTER SCIENCE AND ENGINEERING","RAJAHMUNDRY","33473"
"MALE","OC","PCEK","G.PULLAIAH COLL. OF ENGG. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","KURNOOL","33976"
"MALE","OC","PACE","PACE INSTITUTE OF TECHNOLOGY AND SCIENCES","COMPUTER SCIENCE AND ENGINEERING","ONGOLE","34089"
"MALE","OC","GIET","GIET ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","RAJAHMUNDRY","34562"
"MALE","OC","KSRM","K S R M COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","KADAPA","34625"
"MALE","OC","GVPT","G V P COLLEGE FOR DEGREE AND PG COURSES","COMPUTER SCIENCE AND ENGINEERING","VISAKHAPATNA M","34874"
"MALE","OC","GTNN","GEETHANJALI INST OF SCIENCE AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","NELLORE","34924"
"MALE","OC","BVCE","B V CHALAMAIAH ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","ODALAREVU","36109"
"MALE","OC","SAVE","SANKETHIKA VIDYA PARISHAD ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","VISAKHAPATNA M","36279"
"MALE","OC","SIMH","SIMHADRI EDNL SOC GRP OF INSTNS","COMPUTER SCIENCE AND ENGINEERING","SABBAVARAM","36676"
"MALE","OC","APUCPU","APOLLO UNIVERSITY","COMPUTER SCIENCE AND ENGINEERING","CHITTOOR","36879"
"MALE","OC","RCEE","RAMACHANDRA COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","ELURU","37260"
"MALE","OC","SIST","SIDDHARTHA INST OF SCI AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","PUTTUR","38142"
"MALE","OC","AITT","ANNAMACHARYA INST OF TECHNOLOGYAND SCIENCES","COMPUTER SCIENCE AND ENGINEERING","TIRUPATHI","40912"
"MALE","OC","APUCPU","APOLLO UNIVERSITY","COMPUTER SCIENCE AND ENGINEERING","CHITTOOR","41406"
"MALE","OC","MTIE","MOTHER THERESA INST OF ENGG AND TECH","COMPUTER SCIENCE AND ENGINEERING","PALAMNER","41750"
"MALE","OC","SVCT","SRI VENKATESWARA COLLEGE OF ENGG. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","CHITTOOR","41881"
"MALE","OC","ALIT","ANDHRA LOYOLA INSTT OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","VIJAYAWADA","41919"
"MALE","OC","TMLN","TIRUMALA ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","NARSARAOPET","42374"
"MALE","OC","ALTS","ANANTHA LAKSHMI INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING","ANANTAPURAM U","43276"
"MALE","OC","URCE","USHA RAMA COLL OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","TELAPROLU","43334"
"MALE","OC","SWRN","SWARNANDHRA COLL. OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","NARSAPURAM","43991"
"MALE","OC","BESTPU","BHARATIYA ENGG, SCI. &TECH INNOVATION UNIVERSITY","COMPUTER SCIENCE AND ENGINEERING","ANANTAPUR","44166"
"MALE","OC","KHIT","KALLAM HARANADH REDDY INST OF TECH","COMPUTER SCIENCE AND ENGINEERING","GUNTUR","44537"
"MALE","OC","BRAUSF","COLLEGE OF ENGINEERING BR AMBEDKAR UNIV SELF FINANCE","COMPUTER SCIENCE AND ENGINEERING","SRIKAKULAM","44677"
"MALE","OC","JONY","ST. JOHNS COLLEGE OF ENGG. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","YEMMIGANOOR","44738"
"MALE","OC","SANK","AUDHISANKARA COLLEGE OF ENGG. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","GUDUR","45027"
"MALE","OC","ANSN","ST. ANNS COLLEGE OF ENGG. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","CHIRALA","45289"
"MALE","OC","DLBC","DR L BULLAYYA COLL EGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","VISAKHAPATNA M","47063"
"MALE","OC","WSTM","WELLFARE INST OF SCIENCE TECH AND MGMT","COMPUTER SCIENCE AND ENGINEERING","PINAGADI","48158"
"MALE","OC","PSCV","POTTI SRIRAMULU COLLEGE OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","VIJAYAWADA","48393"
"MALE","OC","GATE","GATES INSTITUTE OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","GOOTY","48745"
"MALE","OC","QISE","QIS COLLEGE OF ENGG. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","ONGOLE","49064"
"MALE","OC","SVCN","SREE VENKATESWARA COLL OF ENGG","COMPUTER SCIENCE AND ENGINEERING","NELLORE","49540"
"MALE","OC","VITK","P B R VISVODAYA INSTITUTE OF TECHNOLOGY AND SCI.","COMPUTER SCIENCE AND ENGINEERING","KAVALI","49972"
"MALE","OC","SREC","SANTHIRAM ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","NANDYAL","50722"
"MALE","OC","CIET","CHALAPATHI INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","GUNTUR","50811"
"MALE","OC","PYDE","PYDAH COLL OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","KAKINADA","51561"
"MALE","OC","NEWS","NEWTONS INST OF SCI AND TECH","COMPUTER SCIENCE AND ENGINEERING","MACHERLA","52254"
"MALE","OC","VETS","SR VENKATESWARA COLL OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","SRIKAKULAM","52929"
"MALE","OC","KTSP","KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE","COMPUTER SCIENCE AND ENGINEERING","DIVILI","53042"
"MALE","OC","NRNG","NARAYANA ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","GUDUR","53301"
"MALE","OC","BVTS","BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.","COMPUTER SCIENCE AND ENGINEERING","AMALAPURAM","54046"
"MALE","OC","GITS","GONNA INST OF INFO TECHNOLOGY SCIENCES","COMPUTER SCIENCE AND ENGINEERING","VISAKHAPATNA M","54523"
"MALE","OC","AMRN","A.M.REDDY MEMORIAL COLL. OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","NARSARAOPET","54529"
"MALE","OC","SSSE","SANSKRITHI SCHOOL OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","PUTAPARTHI","55288"
"MALE","OC","KRUESF","KRISHNA UNIVERSITY COLLEGE OF ENGG AND TECHNOLOGY-SLEF FINAN","COMPUTER SCIENCE AND ENGINEERING","MACHILIPATNA M","55653"
"MALE","OC","ARTB","AVANTHIS RESEARCH AND TECHNOLOGICAL ACADEMY","COMPUTER SCIENCE AND ENGINEERING","BHOGAPURAM","56030"
"MALE","OC","SRKI","S R K INST. OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","VIJAYAWADA","56402"
"MALE","OC","CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","PALLAVOLU","56460"
"MALE","OC","SSCE","SRI SIVANI COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","SRIKAKULAM","56760"
"MALE","OC","DHAN","DHANEKULA INST OF ENGG TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","VIJAYAWADA","57172"
"MALE","OC","CHDL","CHADALAWADA RAMANAMMA ENGG. COLLEGE","COMPUTER SCIENCE AND ENGINEERING","TIRUPATHI","57241"
"MALE","OC","SGVP","SATYA INST OF TECHNOLOGY AND MGMT","COMPUTER SCIENCE AND ENGINEERING","VIZIANAGARAM","57496"
"MALE","OC","KUPM","KUPPAM ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","KUPPAM","58877"
"MALE","OC","CITY","CHALAPATHI INST OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","GUNTUR","60103"
"MALE","OC","AVEV","AVANTHI INST. OF ENGINEERING AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","BHOGAPURAM","60853"
"MALE","OC","IDEL","IDEAL INSTITUTE OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","KAKINADA","61034"
"MALE","OC","ASIP","AMRITA SAI INST. OF SCIENCE AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","PARITALA","62692"
"MALE","OC","SRIN","SRINIVASA INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","CHEYYERU","63578"
"MALE","OC","RUCESF","RAYALASEEMA UNIVERSITY COLLEGE OF ENGG-SELF FINANCE","COMPUTER SCIENCE AND ENGINEERING","KURNOOL","64344"
"MALE","OC","CHKN","CHAITANYA INST. OF SCI. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","KAKINADA","64778"
"MALE","OC","KORM","KANDULA OBUL REDDY MEMORIAL COLL. OF ENGG.","COMPUTER SCIENCE AND ENGINEERING","KADAPA","66925"
"MALE","OC","ASVR","SVR ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","NANDYAL","67937"
"MALE","OC","PVKK","P.V.K.K. INSTITUTE OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","ANANTAPURAM U","69232"
"MALE","OC","MVRS","M.V.R.COLL OF ENGINEERING AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","PARITALA","69827"
"MALE","OC","ACEM","ADITYA COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","MADANAPALLE","70292"
"MALE","OC","SSCC","SRINIVASA INSTITUTE OF TECHNOLOGY AND MANG STUDIES","COMPUTER SCIENCE AND ENGINEERING","CHITTOOR","70365"
"MALE","OC","VSMR","V.S.M COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","RAMACHANDRA PURAM","71343"
"MALE","OC","ELRU","ELURU COLLEGE OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","ELURU","71483"
"MALE","OC","SVIT","SRI VENKATESWARA INST OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","ANANTAPURAM U","71794"
"MALE","OC","AECN","ANDHRA ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","ATMAKUR N","72391"
"MALE","OC","ESWR","ESWAR COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","NARSARAOPET","73110"
"MALE","OC","ASIT","AUDI SANKARA INST OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","GUDUR","73264"
"MALE","OC","VEMU","VEMU INSTITUTE OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","CHITTOOR","75511"
"MALE","OC","AVEN","AVANTHI INSTITUTE OF ENGG. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","NARSIPATNAM","77195"
"MALE","OC","MRCL","MIRACLE EDNL SOC GROUP OF INSTNS","COMPUTER SCIENCE AND ENGINEERING","BHOGAPURAM","78416"
"MALE","OC","CEVP","CHAITANYA ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","VISAKHAPATNA M","78618"
"MALE","OC","BVCR","BVC ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","RAJAHMUNDRY","79183"
"MALE","OC","SRET","SREE RAMA ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","TIRUPATHI","79509"
"MALE","OC","RSRN","RAMIREDDY SUBBA RAMIREDDY ENGG COLLEGE","COMPUTER SCIENCE AND ENGINEERING","NELLORE","79946"
"MALE","OC","RIET","RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","RAJAHMUNDRY","80354"
"MALE","OC","RPRA","RISE KRISHNA SAI PRAKASAM GROUP OF INSTITUTIONS","COMPUTER SCIENCE AND ENGINEERING","ONGOLE","80521"
"MALE","OC","WISE","WEST GODAVARI INSTT OF SCIENCE AND ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","NALLAJERLA","81088"
"MALE","OC","RGAN","RISE KRISHNA SAI GANDHI GROUP OF INSTITUTIONS","COMPUTER SCIENCE AND ENGINEERING","ONGOLE","82414"
"MALE","OC","SGEC","SAI GANAPATHI ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","VISAKHAPATNA M","82530"
"MALE","OC","NITN","NARSARAOPET INSTITUTE OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","NARSARAOPET","83738"
"MALE","OC","LENO","LENORA COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","RAMPACHODAV ARAM","83871"
"MALE","OC","BVRM","BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","BHIMAVARAM","84280"
"MALE","OC","SATS","SRI ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCE","COMPUTER SCIENCE AND ENGINEERING","RAJAMPETA","86060"
"MALE","OC","KVSR","DR.K.V.SUBBA REDDY INST. OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","KURNOOL","86370"
"MALE","OC","VHNI","SREE VAHINI INSTT OF SCIENCE AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","TIRUVURU","87235"
"MALE","OC","AITK","ANNAMACHARYA INST OF TECH AND SCI","COMPUTER SCIENCE AND ENGINEERING","KADAPA","87585"
"MALE","OC","PREC","DR PAUL RAJS ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","YETAPAKA","87649"
"MALE","OC","SVPP","SRI VENKATESA PERUMAL COLLEGE OF ENGG. AND TECH","COMPUTER SCIENCE AND ENGINEERING","PUTTUR","89194"
"MALE","OC","TECH","TADIPATRI ENGG COLLEGE","COMPUTER SCIENCE AND ENGINEERING","TADIPATRI","89356"
"MALE","OC","DSIT","D.B.S.INST OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","KAVALI","89762"
"MALE","OC","HIND","HINDU COLLEGE OF ENGINEERING AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","GUNTUR","90937"
"MALE","OC","PIIT","PRIYADARSHINI INST OF TECH AND MGMT","COMPUTER SCIENCE AND ENGINEERING","GUNTUR","92042"
"MALE","OC","PKSK","PRAKASAM ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","KANDKUR","93799"
"MALE","OC","DNRE","DNR COLLEGE OF ENGG AND TECH","COMPUTER SCIENCE AND ENGINEERING","BHIMAVARAM","93853"
"MALE","OC","BABA","BABA INST OF TECH AND SCIENCES","COMPUTER SCIENCE AND ENGINEERING","VISAKHAPATNA M","93990"
"MALE","OC","VISM","VISWAM ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","MADANAPALLE","95287"
"MALE","OC","LIMT","LINGAYAS INST OF MGMT AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","VIJAYAWADA","97079"
"MALE","OC","MJRT","MJR COLLEGE OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","PILER","97136"
"MALE","OC","SVUCSS","S V U COLLEGE OF ENGG. -SELF SUPPORTING-TIRUPATHI","COMPUTER SCIENCE AND ENGINEERING","TIRUPATHI","97392"
"MALE","OC","PRIK","PRIYADARSHINI COLL OF ENGG. AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","NELLORE","98859"
"MALE","OC","BVSR","BVSR ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","CHIMAKURTHY","98873"
"MALE","OC","DIET","DADI INSTT. OF ENGINEERING AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","ANAKAPALLE","99184"
"MALE","OC","ASTC","AVANTHIS ST THERESSA INSTITUTE OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","CHEEPURUPALLI","99241"
"MALE","OC","GKCS","GOKULA KRISHNA COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","SULLURPET","99870"
"MALE","OC","KISR","KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES","COMPUTER SCIENCE AND ENGINEERING","RAMACHANDRA PURAM","101712"
"MALE","OC","DJRC","SRI CHAITANYA -DJR COLL OF ENGG AND TECH","COMPUTER SCIENCE AND ENGINEERING","VIJAYAWADA","102149"
"MALE","OC","SVET","SRI VASAVI INSTT OF ENGINEERING AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","PEDANA","104459"
"MALE","OC","CVRT","SIR C.V RAMAN INST OF TECHNOLOGY SCIENCES","COMPUTER SCIENCE AND ENGINEERING","TADIPATRI","105475"
"MALE","OC","VVGV","VKR VNB AND AGK ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","GUDIVADA","108709"
"MALE","OC","GECG","GUNTUR ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","GUNTUR","109359"
"MALE","OC","BESTPU","BHARATIYA ENGG, SCI. &TECH INNOVATION UNIVERSITY","COMPUTER SCIENCE AND ENGINEERING","ANANTAPUR","109881"
"MALE","OC","SVCK","SRI VENKATESWARA COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","KADAPA","110358"
"MALE","OC","KCIT","KRISHNA CHAITANYA INST OF TECHNOLOGY AND SCIENCES","COMPUTER SCIENCE AND ENGINEERING","MARKAPUR","112038"
"MALE","OC","RKCE","R.K.COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","IBRAHIMPATNA M","112567"
"MALE","OC","KMMT","KMM INST OF TECHNOLOGY AND SCIENCE","COMPUTER SCIENCE AND ENGINEERING","TIRUPATHI","112638"
"MALE","OC","NRIT","NRI INSTT OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","GUNTUR","112911"
"MALE","OC","SVHE","D M S S V H COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","MACHILIPATNA M","120016"
